Time,Position
1.234,-0.51739527
1.235,-0.518662369
1.236,-0.519876362
1.237,-0.521037181
1.238,-0.522144762
1.239,-0.523199047
1.24,-0.524199986
1.241,-0.525147531
1.242,-0.526041641
1.243,-0.52688228
1.244,-0.527669417
1.245,-0.528403027
1.246,-0.529083091
1.247,-0.529709593
1.248,-0.530282525
1.249,-0.530801883
1.25,-0.531267669
1.251,-0.53167989
1.252,-0.532038557
1.253,-0.53234369
1.254,-0.53259531
1.255,-0.532793446
1.256,-0.532938131
1.257,-0.533029406
1.258,-0.533067313
1.259,-0.533051903
1.26,-0.53298323
1.261,-0.532861354
1.262,-0.532686341
1.263,-0.532458262
1.264,-0.532177192
1.265,-0.531843212
1.266,-0.531456408
1.267,-0.531016873
1.268,-0.530524702
1.269,-0.529979997
1.27,-0.529382866
1.271,-0.52873342
1.272,-0.528031777
1.273,-0.527278059
1.274,-0.526472394
1.275,-0.525614913
1.276,-0.524705754
1.277,-0.52374506
1.278,-0.522732978
1.279,-0.521669662
1.28,-0.520555267
1.281,-0.519389957
1.282,-0.5181739
1.283,-0.516907267
1.284,-0.515590235
1.285,-0.514222987
1.286,-0.512805709
1.287,-0.511338594
1.288,-0.509821837
1.289,-0.508255639
1.29,-0.506640208
1.291,-0.504975752
1.292,-0.503262489
1.293,-0.501500637
1.294,-0.499690421
1.295,-0.497832071
1.296,-0.495925821
1.297,-0.493971908
1.298,-0.491970577
1.299,-0.489922074
1.3,-0.48782665
1.301,-0.485684564
1.302,-0.483496074
1.303,-0.481261447
1.304,-0.478980952
1.305,-0.476654862
1.306,-0.474283456
1.307,-0.471867015
1.308,-0.469405828
1.309,-0.466900183
1.31,-0.464350377
1.311,-0.461756708
1.312,-0.459119479
1.313,-0.456438997
1.314,-0.453715574
1.315,-0.450949525
1.316,-0.448141168
1.317,-0.445290827
1.318,-0.442398828
1.319,-0.439465503
1.32,-0.436491185
1.321,-0.433476212
1.322,-0.430420928
1.323,-0.427325677
1.324,-0.42419081
1.325,-0.421016678
1.326,-0.417803638
